pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
HD 95735 c,GJ 411,1,2,2021,Multiple Observatories,2946,210,-180,0,2.94,0.14,-0.12,0,3.76,,,0,13.6,2.4,-2.3,0,Msini,3719,21,-31,0,0.37,0.01,-0.01,0,0.39,0.01,-0.01,0,[Fe/H],4.9,0.01,-0.01,0,11h03m20.27s,165.834471,+35d58m20.34s,35.972317,5.675773,0.0059099,-0.0059099
GJ 229 A c,GJ 229,2,2,2020,Multiple Facilities,121.93268,0.06708,-0.08158,0,0.384,0.005,-0.005,0,2.87,,,0,8.58137,0.63566,-0.63566,0,Msini,3912.54,147.04,-132.54,0,0.46,0.01,-0.02,0,0.51,0.02,-0.02,0,,4.69,0.04,-0.04,0,06h10m34.46s,92.6435993,-21d52m03.80s,-21.8677233,5.75624,0.001525,-0.001525
GJ 229 b,GJ 229,2,2,2014,Multiple Observatories,579.47495,1.67942,-1.41414,0,1.086,0.015,-0.015,0,3.97,,,0,14.93794,0.95349,-1.27131,0,Msini,3564,,,0,0.46,0.01,-0.02,0,0.51,0.02,-0.02,0,,4.69,0.04,-0.04,0,06h10m34.46s,92.6435993,-21d52m03.80s,-21.8677233,5.75624,0.001525,-0.001525
HD 180617 b,HD 180617,2,1,2018,Calar Alto Observatory,105.911,0.109,-0.109,0,0.343,0.004,-0.004,0,3.53,,,0,12.214,1.05,-1.05,0,Msini,3534,51,-51,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,[Fe/H],4.9,0.07,-0.07,0,19h16m54.66s,289.2277322,+05d09m47.38s,5.1631615,5.91059,0.00183,-0.00183
GJ 273 b,GJ 273,1,2,2017,La Silla Observatory,18.6498,0.0059,-0.0052,0,0.091101,0.000019,-0.000017,0,1.51,,,0,2.89,0.27,-0.26,0,Msini,3382,49,-49,0,0.29,0.03,-0.03,0,0.29,,,0,[Fe/H],4.91,0,0,0,07h27m24.50s,111.852091,+05d13m32.91s,5.225807,5.921535,0.0206332,-0.0206332
GJ 273 c,GJ 273,1,2,2017,La Silla Observatory,4.7234,0.0004,-0.0004,0,0.036467,0.000002,-0.000002,0,1.06,,,0,1.18,0.16,-0.16,0,Msini,3382,49,-49,0,0.29,0.03,-0.03,0,0.29,,,0,[Fe/H],4.91,0,0,0,07h27m24.50s,111.852091,+05d13m32.91s,5.225807,5.921535,0.0206332,-0.0206332
HD 20794 b,HD 20794,1,4,2011,La Silla Observatory,18.315,0.008,-0.008,0,0.1207,0.002,-0.002,0,1.45,,,0,2.7,0.3,-0.3,0,Msin(i)/sin(i),5401,17,-17,0,0.92,0.02,-0.02,0,0.7,,,0,[Fe/H],4.22,0.11,-0.11,0,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.00278,0.00854,-0.00851
HD 20794 c,HD 20794,1,4,2011,La Silla Observatory,40.114,0.053,-0.053,0,0.2036,0.0034,-0.0034,0,1.35,,,0,2.4,0.4,-0.4,0,Msin(i)/sin(i),5401,17,-17,0,0.92,0.02,-0.02,0,0.7,,,0,[Fe/H],4.22,0.11,-0.11,0,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.00278,0.00854,-0.00851
HD 20794 d,HD 20794,1,4,2011,La Silla Observatory,90.309,0.184,-0.184,0,0.3499,0.0059,-0.0059,0,2.04,,,0,4.8,0.6,-0.6,0,Msin(i)/sin(i),5401,17,-17,0,0.92,0.02,-0.02,0,0.7,,,0,[Fe/H],4.22,0.11,-0.11,0,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.00278,0.00854,-0.00851
HD 20794 e,HD 20794,1,4,2017,La Silla Observatory,147.02,1.43,-0.91,0,0.509,0.006,-0.006,0,2.03,,,0,4.77,0.96,-0.86,0,Msini,5401,17,-17,0,0.92,0.02,-0.02,0,0.81,0.02,-0.01,0,[M/H],4.46,0.02,-0.01,0,03h19m59.94s,49.9997666,-43d03m59.95s,-43.0666533,6.00278,0.00854,-0.00851
