pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
NGTS-2 b,NGTS-2,1,1,2018,Next-Generation Transit Survey (NGTS),4.511164,0.000061,-0.000061,0,0.063,0.0024,-0.003,0,17.878,0.527,-0.504,0,235.1942,41.3179,-38.1396,0,Mass,6478,94,-89,0,1.7,0.05,-0.04,0,1.64,0.19,-0.22,0,[Fe/H],4.2,0.03,-0.06,0,14h20m29.46s,215.1227617,-31d12m07.45s,-31.2020698,356.391,8.2,-7.845
Kepler-1671 b,Kepler-1671,1,1,2020,Kepler,4.16787,,,0,0.0491,,,0,1.326,,,0,2.32,,,0,M-R relationship,5135.55,121.59,-130.34,0,0.93,0.06,-0.06,0,0.87,0.13,-0.09,0,[M/H],4.44,0.1,-0.08,0,19h26m59.62s,291.7484295,+39d26m48.41s,39.4467817,357.059,2.168,-2.143
Kepler-1455 b,Kepler-1455,1,1,2016,Kepler,49.276764,0.0003737,-0.0003737,0,0.2149,0.0055,-0.0054,0,2.16,0.15,-0.16,0,5.31,,,0,M-R relationship,4075,61.23,-57.4,0,0.6,0.03,-0.04,0,0.62,0.03,-0.04,0,[Fe/H],4.68,0.03,-0.02,0,19h36m19.94s,294.0830662,+50d30m09.93s,50.5027572,357.621,5.284,-5.284
K2-225 b,K2-225,1,1,2018,K2,15.87209,0.00387,-0.00338,0,0.134,0.001,-0.001,0,3.49,0.26,-0.2,0,12,,,0,M-R relationship,5742,49,-47,0,1.7,0.04,-0.04,0,1.27,0.02,-0.04,0,[Fe/H],4.08,0.02,-0.02,0,12h26m09.86s,186.5410958,-09d37m29.36s,-9.6248232,357.778,5.896,-5.711
Kepler-1150 b,Kepler-1150,2,1,2016,Kepler,2.78786839,0.00000826,-0.00000826,0,0.0382,,,0,1.02,0.06,-0.06,0,1.04,,,0,M-R relationship,4754,80.38,-77.33,0,0.72,0.03,-0.03,0,0.76,0.03,-0.04,0,[Fe/H],4.61,0.02,-0.03,0,19h46m53.87s,296.7244553,+49d31m57.66s,49.5326846,358.518,2.334,-2.304
K2-374 b,K2-374,1,2,2022,K2,4.521953,0.00032,-0.000409,0,,,,,1.593,0.061,-0.058,0,3.16,,,0,M-R relationship,5789,21,-21,0,0.91,0.02,-0.02,0,0.73,0.07,-0.06,0,[Fe/H],4.39,0.04,-0.04,0,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.439,5.293,-5.144
K2-374 c,K2-374,1,2,2022,K2,16.43445,0.002378,-0.002702,0,,,,,2.213,0.091,-0.086,0,5.53,,,0,M-R relationship,5789,21,-21,0,0.91,0.02,-0.02,0,0.73,0.07,-0.06,0,[Fe/H],4.39,0.04,-0.04,0,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.439,5.293,-5.144
Kepler-1465 b,Kepler-1465,1,1,2016,Kepler,31.8277111,0.0001219,-0.0001219,0,0.1939,,,0,1.77,0.35,-0.19,0,3.78,,,0,M-R relationship,4726,60.73,-75.37,0,0.71,0.03,-0.04,0,0.75,0.04,-0.05,0,[Fe/H],4.62,0.02,-0.03,0,19h19m16.66s,289.8194222,+51d54m17.47s,51.9048541,359.497,10.612,-10.03
TrES-5 b,TrES-5,1,1,2011,TrES,1.48224686,0.00000614,-0.00000614,0,0.02459,0.0007,-0.0007,0,13.384,0.168,-0.168,0,568.9157,21.61244,-21.61244,0,Mass,5171,36,-36,0,0.87,0.01,-0.01,0,0.9,0.03,-0.03,0,[Fe/H],4.52,0.01,-0.01,0,20h20m53.27s,305.2219454,+59d26m56.05s,59.4489033,360.313,1.921,-1.901
K2-339 b,K2-339,1,1,2019,K2,19.507428,0.000116,-0.000113,0,,,,,1.92,0.19,-0.12,0,4.35,,,0,M-R relationship,4857,86,-84,0,0.72,0.03,-0.03,0,0.74,0.04,-0.03,0,[Fe/H],4.59,0.02,-0.02,0,08h40m19.81s,130.082542,+18d41m34.46s,18.6929046,360.36,5.236,-5.236
TOI-615 b,TOI-615,1,1,2023,Transiting Exoplanet Survey Satellite (TESS),4.6615983,0.0000025,-0.0000016,0,0.0678,0.0031,-0.0026,0,18.977,0.583,-0.639,0,138.25536,27.33324,-26.06193,0,Mass,6850,100,-100,0,1.73,0.06,-0.06,0,1.45,0.09,-0.09,0,[Fe/H],4.2,0.2,-0.2,0,08h53m38.09s,133.4086892,-40d32m37.32s,-40.543701,360.408,3.993,-3.909
Kepler-1956 b,Kepler-1956,1,1,2021,Kepler,5.94371986,,,0,0.0563,,,0,1.089,,,0,1.32,,,0,M-R relationship,4391,118,-131,0,0.68,0.03,-0.06,0,0.67,0.06,-0.05,0,[Fe/H],4.6,0.05,-0.02,0,19h38m29.00s,294.6208506,+49d53m39.19s,49.894219,360.468,3.771,-3.695
K2-269 b,K2-269,1,1,2018,K2,4.144965,0.000817,-0.000619,0,0.0531,0.0006,-0.0006,0,1.57,0.12,-0.12,0,3.09,,,0,M-R relationship,6209,88,-88,0,1.45,0.06,-0.06,0,1.16,0.04,-0.04,0,[Fe/H],4.18,0.03,-0.03,0,08h40m37.23s,130.1551381,+13d00m52.85s,13.0146799,360.76,15.805,-14.554
K2-181 b,K2-181,1,1,2018,K2,6.894256,0.000704,-0.000722,0,0.0706,0.001,-0.001,0,2.84,0.2,-0.2,0,8.45,,,0,M-R relationship,5608,91,-91,0,1.07,0.02,-0.02,0,0.99,0.04,-0.04,0,[Fe/H],4.38,0.03,-0.03,0,08h30m12.99s,127.5541103,+10d54m36.52s,10.9101444,360.911,5.351,-5.201
Kepler-1898 b,Kepler-1898,1,1,2021,Kepler,4.76562023,,,0,0.0522,,,0,0.934,,,0,0.76,,,0,M-R relationship,5702,189,-172,0,1.12,0.35,-0.28,0,0.84,0.13,-0.07,0,[Fe/H],4.26,0.25,-0.21,0,19h08m49.39s,287.2058009,+38d29m53.49s,38.4981903,360.921,1.897,-1.878
HAT-P-52 b,HAT-P-52,1,1,2015,HATNet,2.7535953,0.0000094,-0.0000094,0,0.03694,0.00038,-0.00038,0,11.31,0.807,-0.807,0,259.98494,9.21707,-9.21707,0,Mass,5131,50,-50,0,0.89,0.05,-0.05,0,0.89,0.03,-0.03,0,[Fe/H],4.48,0.05,-0.05,0,02h50m53.22s,42.7217412,+29d01m20.10s,29.0222492,361.155,4.2875,-4.2875
TOI-2570 b,TOI-2570,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),2.9887615,0.0000022,-0.0000022,0,0.04145,0.00081,-0.00086,0,13.641,0.392,-0.381,0,260.61929,20.02319,-20.65885,0,Mass,5771,89,-87,0,1.09,0.03,-0.03,0,1.06,0.06,-0.07,0,[Fe/H],4.38,0.03,-0.03,0,05h48m45.13s,87.1880397,+32d05m02.56s,32.0840435,361.857,6.349,-6.138
Kepler-806 b,Kepler-806,1,1,2016,Kepler,8.09219642,0.00003302,-0.00003302,0,0.0764,,,0,1.14,0.33,-0.24,0,1.55,,,0,M-R relationship,5770,59.8,-67.82,0,1.16,0.34,-0.18,0,0.99,0.07,-0.06,0,[Fe/H],4.3,0.14,-0.19,0,19h44m01.73s,296.0071956,+44d51m12.85s,44.8535698,361.896,2.925,-2.878
WASP-193 b,WASP-193,1,1,2023,WASP-South,6.2463345,0.0000003,-0.0000003,0,0.0676,0.0015,-0.0015,0,16.41,0.661,-0.639,0,44.17815,9.21702,-9.21702,0,Mass,6078,120,-120,0,1.24,0.03,-0.03,0,1.06,0.07,-0.07,0,[Fe/H],4.28,0.03,-0.03,0,10h57m23.79s,164.3491401,-29d59m49.64s,-29.9971229,362.087,5.384,-5.232
HATS-43 b,HATS-43,1,1,2018,HATSouth,4.3888497,0.0000059,-0.0000059,0,0.04944,0.00046,-0.00046,0,13.227,0.56,-0.56,0,82.95363,17.16282,-17.16282,0,Mass,5099,61,-61,0,0.81,0.03,-0.03,0,0.84,0.02,-0.02,0,[Fe/H],4.54,0.04,-0.04,0,05h22m09.18s,80.5382418,-30d58m14.94s,-30.9708179,362.273,2.259,-2.232
Kepler-1087 b,Kepler-1087,1,1,2016,Kepler,0.69384285,0.00000159,-0.00000159,0,0.0148,,,0,0.61,0.17,-0.05,0,0.165,,,0,M-R relationship,5589,122.9,-191.41,0,0.94,0.26,-0.07,0,0.96,0.07,-0.06,0,[Fe/H],4.48,0.06,-0.2,0,19h39m54.94s,294.9789253,+46d00m20.43s,46.0056741,362.623,3.508,-3.443
WASP-71 b,WASP-71,1,1,2012,SuperWASP,2.90367,0.000007,-0.000007,0,0.04622,0.00068,-0.00069,0,13.227,1.345,-1.345,0,441.7837,104.8839,-104.8839,0,Mass,6050,100,-100,0,1.82,0.19,-0.19,0,0.76,0.27,-0.27,0,[Fe/H],3.9,0.05,-0.05,0,01h57m03.23s,29.2634506,+00d45m31.77s,0.7588247,362.715,6.98,-6.725
K2-207 b,K2-207,1,1,2018,K2,12.48749,0.001208,-0.001162,0,,,,,2.606,0.37,-0.209,0,7.3,,,0,M-R relationship,5522,50,-50,0,0.93,0.09,-0.05,0,0.94,0.03,-0.03,0,[Fe/H],4.41,0.1,-0.1,0,00h46m47.92s,11.6996481,+00d38m26.23s,0.6406182,363.064,5.626,-5.46
Gaia-1 b,Gaia-1,1,1,2022,European Space Agency (ESA) Gaia Satellite,3.052524,0.000017,-0.000017,0,0.04047,0.00094,-0.00094,0,13.776,0.235,-0.235,0,533.95172,34.96112,-34.96112,0,Mass,5470,110,-110,0,0.95,0.03,-0.03,0,0.95,0.07,-0.07,0,,4.44,0.07,-0.09,0,06h02m34.48s,90.6436658,-00d34m37.60s,-0.5771099,363.66,3.058,-3.008
Kepler-406 b,Kepler-406,1,2,2014,Kepler,2.42629,,,0,0.035974,,,0,1.43,0.03,-0.03,0,6.35,1.4,-1.4,0,Mass,5538,75,-75,0,1.07,0.02,-0.02,0,1.07,0.06,-0.06,0,[Fe/H],4.41,0.02,-0.02,0,19h27m23.56s,291.8481764,+44d58m05.81s,44.9682807,364.03,3.402,-3.34
Kepler-406 c,Kepler-406,1,2,2014,Kepler,4.62332,,,0,0.055292,,,0,0.85,0.03,-0.03,0,2.71,1.8,-1.8,0,Mass,5538,75,-75,0,1.07,0.02,-0.02,0,1.07,0.06,-0.06,0,[Fe/H],4.41,0.02,-0.02,0,19h27m23.56s,291.8481764,+44d58m05.81s,44.9682807,364.03,3.402,-3.34
K2-14 b,K2-14,1,1,2015,K2,8.36802,0.00019,-0.00019,0,0.0627,0.0006,-0.0006,0,4.81,0.42,-0.42,0,20.7,,,0,M-R relationship,3789,17,-16,0,0.45,0.01,-0.01,0,0.47,0.01,-0.01,0,[Fe/H],4.89,0.05,-0.05,0,11h52m13.65s,178.0568745,+02d35m38.84s,2.5941222,364.048,8.099,-8.099
WASP-100 b,WASP-100,2,1,2014,SuperWASP,2.84938,0.000008,-0.000008,0,0.04574,0.00093,-0.001,0,14.908,1.569,-1.569,0,400.4658,143.0235,-143.0235,0,Mass,6900,120,-120,0,1.57,0.16,-0.16,0,0.77,0.42,-0.42,0,[Fe/H],4.35,0.17,-0.17,0,04h35m50.36s,68.9598159,-64d01m37.34s,-64.027039,364.411,2.749,-2.709
WASP-44 b,WASP-44,1,1,2011,SuperWASP,2.423804,0.000008,-0.000008,0,0.03453,0.00065,-0.00065,0,12.33,0.908,-0.852,0,276.5121,20.02329,-19.70546,0,Mass,5420,100,-100,0,0.91,0.05,-0.05,0,0.94,0.05,-0.05,0,[Fe/H],4.49,0.04,-0.04,0,00h15m36.79s,3.9032733,-11d56m17.75s,-11.9382645,364.512,5.656,-5.49
HAT-P-23 b,HAT-P-23,1,1,2010,HATNet,1.212884,0.000002,-0.000002,0,0.0232,0.0002,-0.0002,0,15.334,1.009,-1.009,0,664.237,35.278,-35.278,0,Mass,5905,80,-80,0,1.2,0.07,-0.07,0,1.13,0.04,-0.04,0,[Fe/H],4.33,0.05,-0.05,0,20h24m29.74s,306.1239076,+16d45m43.73s,16.7621462,364.813,4.772,-4.653
Kepler-1007 b,Kepler-1007,1,1,2016,Kepler,5.18500207,0.00000932,-0.00000932,0,0.048,,,0,1.44,0.07,-0.07,0,2.67,,,0,M-R relationship,4587,88.05,-98.48,0,0.7,0.03,-0.03,0,0.73,0.03,-0.04,0,[Fe/H],4.62,0.02,-0.03,0,19h43m37.57s,295.9065297,+45d48m32.72s,45.8090893,365,17.69,-18.886
K2-119 b,K2-119,1,1,2017,K2,7.727283,0.001268,-0.001149,0,0.0698,0.0006,-0.0006,0,2.53,0.2,-0.2,0,6.94,,,0,M-R relationship,4740,100,-100,0,0.71,0.01,-0.01,0,0.76,0.02,-0.02,0,[Fe/H],4.62,0.01,-0.01,0,08h48m02.37s,132.0098683,+16d54m06.36s,16.9017663,365.581,4.37,-4.27
Kepler-442 b,Kepler-442,1,1,2015,Kepler,112.3053,0.0024,-0.0028,0,0.409,0.209,-0.06,0,1.34,0.11,-0.18,0,2.36,,,0,M-R relationship,4402,100,-100,0,0.6,0.02,-0.02,0,0.61,0.03,-0.03,0,[Fe/H],4.67,0.02,-0.02,0,19h01m27.98s,285.3666029,+39d16m48.25s,39.2800704,365.965,2.763,-2.724
Kepler-1029 b,Kepler-1029,1,1,2016,Kepler,4.41769648,0.0000089,-0.0000089,0,0.047,,,0,1.26,0.08,-0.07,0,2.13,,,0,M-R relationship,5030,68.38,-91.81,0,0.77,0.04,-0.04,0,0.82,0.04,-0.04,0,[Fe/H],4.58,0.02,-0.05,0,19h28m31.89s,292.1328738,+41d32m50.92s,41.5474786,366.656,2.5695,-2.5695
TOI-3362 b,TOI-3362,1,1,2021,Transiting Exoplanet Survey Satellite (TESS),18.09547,0.00003,-0.00003,0,0.153,0.002,-0.003,0,12.801,0.482,-0.46,0,1598.35906,212.30938,-205.31715,0,Mass,6532,88,-86,0,1.83,0.06,-0.05,0,1.45,0.07,-0.07,0,[M/H],4.07,0.03,-0.03,0,10h23m56.19s,155.9841428,-56d50m35.22s,-56.8431169,366.987,4.259,-4.164
Kepler-1410 b,Kepler-1410,1,1,2016,Kepler,60.866168,0.0005161,-0.0005161,0,0.2543,0.0043,-0.0038,0,1.78,0.12,-0.14,0,3.82,,,0,M-R relationship,4092,100.24,-77.85,0,0.6,0.03,-0.04,0,0.63,0.04,-0.04,0,[Fe/H],4.67,0.03,-0.02,0,19h22m02.47s,290.5102933,+38d44m36.60s,38.743501,367,27.913,-30.161
Kepler-477 b,Kepler-477,2,1,2016,Kepler,11.11990653,0.0000116,-0.0000116,0,0.0911,,,0,2.07,0.18,-0.12,0,4.94,,,0,M-R relationship,5240,49.3,-41.14,0,0.79,0.02,-0.02,0,0.87,0.03,-0.03,0,[Fe/H],4.58,0.01,-0.01,0,19h12m16.19s,288.067445,+42d21m19.10s,42.355305,367,10.155,-11.229
Qatar-5 b,Qatar-5,1,1,2017,Qatar,2.8792319,,,0,0.04127,0.00067,-0.00067,0,12.408,0.717,-0.717,0,1373.0256,57.2094,-57.2094,0,Mass,5747,49,-49,0,1.08,0.05,-0.05,0,1.13,0.06,-0.06,0,[Fe/H],4.43,0.04,-0.04,0,00h28m12.94s,7.0539375,+42d03m40.84s,42.0613451,367.658,8.089,-7.755
KELT-12 b,KELT-12,1,1,2017,KELT-North,5.031623,0.000032,-0.000031,0,0.06708,0.00097,-0.0013,0,19.952,1.906,-1.793,0,301.9385,44.4962,-44.4962,0,Mass,6279,51,-51,0,2.37,0.17,-0.17,0,1.59,0.07,-0.09,0,[Fe/H],3.89,0.05,-0.05,0,17h50m33.72s,267.6404906,+36d34m12.63s,36.5701761,368.03,3.157,-3.106
Kepler-80 b,Kepler-80,1,6,2012,Kepler,7.05246,0.0002,-0.00022,0,0.0648,0.0009,-0.0009,0,2.67,0.1,-0.1,0,6.93,1.05,-0.7,0,Mass,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,[Fe/H],4.64,0.01,-0.01,0,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,2.8945,-2.8945
Kepler-80 c,Kepler-80,1,6,2012,Kepler,9.52355,0.00041,-0.00029,0,0.0792,0.0011,-0.0011,0,2.74,0.12,-0.1,0,6.74,1.23,-0.86,0,Mass,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,[Fe/H],4.64,0.01,-0.01,0,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,2.8945,-2.8945
Kepler-80 d,Kepler-80,1,6,2014,Kepler,3.07222,0.00006,-0.00004,0,0.0372,0.0005,-0.0005,0,1.53,0.09,-0.07,0,6.75,0.69,-0.51,0,Mass,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,[Fe/H],4.64,0.01,-0.01,0,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,2.8945,-2.8945
Kepler-80 e,Kepler-80,1,6,2014,Kepler,4.64489,0.0002,-0.00019,0,0.0491,0.0007,-0.0007,0,1.6,0.08,-0.07,0,4.13,0.81,-0.95,0,Mass,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,[Fe/H],4.64,0.01,-0.01,0,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,2.8945,-2.8945
Kepler-80 f,Kepler-80,1,6,2016,Kepler,0.9867873,0.00000006,-0.00000006,0,0.0175,0.0002,-0.0002,0,1.21,0.06,-0.05,0,1.92,,,0,M-R relationship,4540,100,-100,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,[Fe/H],4.64,0.01,-0.01,0,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,2.8945,-2.8945
Kepler-80 g,Kepler-80,1,6,2017,Kepler,14.64558,0.00012,-0.00012,0,,,,,1.13,0.14,-0.14,0,1.51,,,0,M-R relationship,4540,100,-100,0,0.68,0.02,-0.02,0,0.83,0.03,-0.03,0,[M/H],4.64,0.01,-0.01,0,19h44m27.02s,296.1125759,+39d58m43.48s,39.9787451,369.451,2.8945,-2.8945
Kepler-489 b,Kepler-489,1,1,2016,Kepler,17.27629612,0.00000245,-0.00000245,0,0.1209,,,0,7.72,0.17,-0.2,0,46.1,,,0,M-R relationship,5014,70.48,-58.34,0,0.76,0.02,-0.02,0,0.82,0.03,-0.03,0,[Fe/H],4.59,0.01,-0.01,0,19h23m19.98s,290.8332412,+38d11m03.07s,38.1841851,369.645,2.297,-2.297
EPIC 206024342 b,EPIC 206024342,1,3,2019,K2,4.50756,0.00062,-0.0006,0,,,,,1.7,0.59,-0.31,0,3.53,,,0,M-R relationship,5724,72,-72,0,0.82,0.1,-0.04,0,0.93,0.08,-0.1,0,[Fe/H],4.59,0.06,-0.1,0,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.888,4.99,-4.86
EPIC 206024342 c,EPIC 206024342,1,3,2021,K2,0.911724,0.000076,-0.000076,0,,,,,1.4,0.5,-0.5,0,2.54,,,0,M-R relationship,5724,72,-72,0,1.1,0.36,-0.36,0,0.93,0.08,-0.1,0,[Fe/H],4.5,0.1,-0.1,0,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.888,4.99,-4.86
EPIC 206024342 d,EPIC 206024342,1,3,2021,K2,14.647531,0.0000041,-0.0000041,0,,,,,2.6,0.9,-0.9,0,7.27,,,0,M-R relationship,5724,72,-72,0,1.1,0.36,-0.36,0,0.93,0.08,-0.1,0,[Fe/H],4.5,0.1,-0.1,0,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.888,4.99,-4.86
WASP-64 b,WASP-64,2,1,2012,SuperWASP,1.5732918,0.0000015,-0.0000015,0,0.02648,0.00024,-0.00024,0,14.247,0.437,-0.437,0,403.945,21.612,-21.612,0,Mass,5400,100,-100,0,1.06,0.03,-0.03,0,1,0.03,-0.03,0,[Fe/H],4.39,0.02,-0.02,0,06h44m27.58s,101.1149223,-32d51m30.20s,-32.8583878,369.926,3.026,-2.979
WASP-93 b,WASP-93,1,1,2016,SuperWASP,2.7325321,0.000002,-0.000002,0,0.04211,0.00035,-0.00035,0,17.901,0.863,-0.863,0,467.2101,92.1707,-92.1707,0,Mass,6700,100,-100,0,1.52,0.04,-0.04,0,1.33,0.03,-0.03,0,[Fe/H],4.2,0.02,-0.02,0,00h37m50.10s,9.4587443,+51d17m19.60s,51.288778,370.284,7.938,-7.617
Kepler-1456 b,Kepler-1456,1,1,2016,Kepler,18.1373829,0.0001854,-0.0001854,0,0.1132,,,0,1.14,0.09,-0.15,0,1.55,,,0,M-R relationship,4231,68.4,-85.61,0,0.62,0.04,-0.07,0,0.64,0.05,-0.08,0,[Fe/H],4.67,0.05,-0.02,0,19h07m46.88s,286.9453381,+43d49m22.09s,43.8228023,370.312,4.089,-4.002
Kepler-1339 b,Kepler-1339,1,1,2016,Kepler,1.34155513,0.0000037,-0.0000037,0,0.0234,,,0,0.71,0.06,-0.04,0,0.285,,,0,M-R relationship,5586,51.01,-56.05,0,0.93,0.06,-0.05,0,0.94,0.03,-0.04,0,[Fe/H],4.47,0.05,-0.06,0,18h54m58.98s,283.7457695,+48d22m24.49s,48.373469,371.049,8.117,-7.783
WASP-187 b,WASP-187,1,1,2020,SuperWASP,5.147878,0.000005,-0.000009,0,0.0653,0.0013,-0.0013,0,18.383,0.56,-0.56,0,254.264,28.6047,-28.6047,0,Mass,6150,92,-85,0,2.83,0.05,-0.05,0,1.54,0.09,-0.09,0,[Fe/H],3.72,0.03,-0.03,0,01h09m53.94s,17.47474,+25d40m53.94s,25.6816494,371.414,6.271,-6.07
HAT-P-67 b,HAT-P-67,2,1,2017,HATNet,4.8101025,0.00000043,-0.00000033,0,0.06505,0.00273,-0.00079,0,23.371,1.076,-0.796,0,108.0622,79.4575,-60.3877,0,Mass,6406,65,-61,0,2.55,0.1,-0.08,0,1.64,0.15,-0.07,0,[Fe/H],3.85,0.01,-0.02,0,17h06m26.57s,256.6107279,+44d46m36.79s,44.7768849,371.686,3.563,-3.497
K2-334 b,K2-334,1,1,2018,K2,5.113981,0.000061,-0.000062,0,,,,,5.65,0.36,-0.28,0,27.2,,,0,M-R relationship,6502,132,-130,0,1.49,0.07,-0.06,0,1.36,0.05,-0.05,0,[Fe/H],4.22,0.04,-0.04,0,09h05m57.46s,136.4894259,+16d19m31.85s,16.3255146,371.823,6.528,-6.31
Kepler-629 b,Kepler-629,1,1,2016,Kepler,7.2385854,0.0000118,-0.0000118,0,0.0712,,,0,1.38,0.06,-0.04,0,2.48,,,0,M-R relationship,5444,71.98,-60.2,0,0.84,0.02,-0.02,0,0.93,0.03,-0.03,0,[Fe/H],4.55,0.01,-0.01,0,19h17m40.30s,289.4179128,+39d56m42.27s,39.9450757,372.05,1.954,-1.933
HD 240210 b,HD 240210,1,1,2009,McDonald Observatory,501.75,2.33,-2.33,0,1.16,,,0,12.8,,,0,1655.82,,,0,Msini,4297,25,-25,0,25.46,1.18,-0.74,0,0.82,0.15,-0.15,0,[Fe/H],2.31,0.11,-0.11,0,23h10m29.26s,347.6219227,+57d01m46.13s,57.0294818,372.405,4.88,-4.88
EPIC 246851721 b,EPIC 246851721,2,1,2018,K2,6.180235,0.000014,-0.000014,0,0.07229,0.00074,-0.00075,0,11.781,0.493,-0.493,0,953.49,349.613,-381.396,0,Mass,6202,52,-50,0,1.59,0.03,-0.03,0,1.32,0.04,-0.04,0,[Fe/H],4.16,0.02,-0.02,0,05h15m40.76s,78.9198197,+16d16m43.32s,16.2786991,372.632,19.456,-17.644
K2-294 b,K2-294,1,1,2019,K2,2.50387,0.00022,-0.00023,0,,,,,1.66,0.21,-0.19,0,3.39,,,0,M-R relationship,5612,50,-50,0,1.2,0.13,-0.12,0,0.99,0.03,-0.03,0,[M/H],4.2,0.1,-0.1,0,23h28m12.40s,352.0516724,-07d36m13.63s,-7.6037856,373.078,6.197,-6.002
TOI-2207 b,TOI-2207,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),8.001968,0.000024,-0.000025,0,0.0854,0.0015,-0.0016,0,11.153,0.314,-0.303,0,203.41018,31.78284,-38.13941,0,Mass,6101,75,-73,0,1.56,0.04,-0.04,0,1.3,0.07,-0.07,0,[Fe/H],4.16,0.03,-0.04,0,20h30m23.21s,307.5966925,-44d53m15.43s,-44.8876181,373.345,6.487,-6.273
TOI-2587 A b,TOI-2587 A,2,1,2023,Transiting Exoplanet Survey Satellite (TESS),5.45664,0.000011,-0.000011,0,0.0635,0.0025,-0.0013,0,12.072,0.471,-0.448,0,69.28659,17.16273,-14.62011,0,Mass,5760,80,-79,0,1.73,0.05,-0.05,0,1.15,0.14,-0.07,0,[Fe/H],4.02,0.06,-0.04,0,07h43m43.61s,115.9317105,-01d04m24.00s,-1.073333,373.675,5.953,-5.772
Kepler-159 b,Kepler-159,1,2,2014,Kepler,10.139623,0.000022,-0.000022,0,0.082,,,0,2.38,0.18,-0.18,0,6.26,,,0,M-R relationship,4625,100,-100,0,0.66,0.03,-0.03,0,0.63,0.01,-0.01,0,[Fe/H],4.65,0.15,-0.15,0,19h48m16.85s,297.0702037,+40d52m07.44s,40.868734,373.744,3.15,-3.099
Kepler-159 c,Kepler-159,1,2,2014,Kepler,43.595792,0.000125,-0.000125,0,0.218,,,0,3.41,0.28,-0.28,0,11.5,,,0,M-R relationship,4625,100,-100,0,0.66,0.03,-0.03,0,0.63,0.01,-0.01,0,[Fe/H],4.65,0.15,-0.15,0,19h48m16.85s,297.0702037,+40d52m07.44s,40.868734,373.744,3.15,-3.099
Kepler-1064 b,Kepler-1064,1,1,2016,Kepler,16.54080322,0.00004111,-0.00004111,0,0.1183,,,0,1.55,0.07,-0.05,0,3.02,,,0,M-R relationship,5153,80.62,-59.98,0,0.79,0.02,-0.02,0,0.85,0.03,-0.03,0,[Fe/H],4.57,0.02,-0.02,0,19h26m57.98s,291.7415821,+37d41m19.72s,37.6888103,374,11.514,-11.475
Kepler-1846 b,Kepler-1846,1,1,2021,Kepler,14.82009983,,,0,0.1089,,,0,1.764,,,0,3.76,,,0,M-R relationship,4825,96,-96,0,0.73,0.04,-0.03,0,0.79,0.04,-0.04,0,[Fe/H],4.6,0.02,-0.05,0,19h37m33.83s,294.3909489,+44d45m46.63s,44.7629523,374.615,2.4155,-2.4155
WASP-46 b,WASP-46,1,1,2011,SuperWASP,1.43036763,0.00000093,-0.00000093,0,0.02335,0.00072,-0.00072,0,13.159,0.415,-0.415,0,607.0553,41.3179,-41.3179,0,Mass,5600,,,0,0.86,0.03,-0.03,0,0.83,0.08,-0.08,0,[Fe/H],4.49,0.01,-0.01,0,21h14m56.88s,318.7370122,-55d52m18.71s,-55.8718634,375.31,4.462,-4.36
Kepler-1718 b,Kepler-1718,1,1,2021,Kepler,135.1880035,,,0,0.4878,,,0,2.569,,,0,7.12,,,0,M-R relationship,5731,103,-115,0,0.91,0.12,-0.08,0,0.85,0.07,-0.05,0,[Fe/H],4.45,0.1,-0.1,0,19h28m56.38s,292.2349191,+42d54m34.06s,42.9094618,375.522,3.03,-2.982
